epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
1,41600,0.034,0.002,0.259,0.234,0.922,0.233,0.252,0.252,0.503,0.231,0.347
2,41616,0.032,0.003,0.256,0.286,0.483,0.223,0.258,0.248,0.447,0.129,0.363
3,41632,0.037,0.005,0.249,0.287,0.367,0.178,0.254,0.304,0.365,0.092,0.183
4,41648,0.033,0.003,0.219,0.367,0.388,0.219,0.254,0.255,0.445,0.118,0.198
5,41664,0.032,0.005,0.213,0.269,0.293,0.133,0.253,0.259,0.275,0.075,0.142
6,41680,0.035,0.004,0.189,0.501,0.357,0.159,0.251,0.257,0.323,0.087,0.172
7,41696,0.032,0.003,0.218,0.38,0.321,0.135,0.238,0.24,0.27,0.073,0.194
8,41712,0.033,0.003,0.219,0.266,0.418,0.171,0.242,0.249,0.358,0.114,0.181
9,41728,0.034,0.003,0.166,0.401,0.319,0.134,0.241,0.282,0.279,0.085,0.149
10,41744,0.033,0.003,0.196,0.471,0.401,0.146,0.247,0.28,0.308,0.131,0.139
11,41760,0.032,0.003,0.231,0.309,0.365,0.132,0.203,0.227,0.289,0.125,0.193
12,41776,0.03,0.004,0.187,0.329,0.264,0.101,0.208,0.301,0.219,0.089,0.113
13,41792,0.039,0.004,0.194,0.293,0.276,0.11,0.235,0.223,0.234,0.109,0.126
14,41808,0.034,0.004,0.243,0.34,0.3,0.114,0.263,0.3,0.251,0.103,0.084
15,41824,0.033,0.003,0.22,0.437,0.273,0.109,0.231,0.334,0.245,0.115,0.169
16,41840,0.035,0.004,0.195,0.271,0.375,0.134,0.21,0.295,0.303,0.12,0.142
17,41856,0.033,0.003,0.227,0.448,0.282,0.101,0.211,0.373,0.22,0.104,0.079
18,41872,0.034,0.004,0.197,0.325,0.334,0.114,0.233,0.415,0.267,0.17,0.089
19,41888,0.035,0.004,0.205,0.414,0.264,0.097,0.193,0.302,0.216,0.124,0.214
20,41904,0.034,0.004,0.208,0.406,0.269,0.104,0.256,0.579,0.227,0.091,0.111
21,41920,0.039,0.003,0.161,0.432,0.297,0.115,0.233,0.446,0.246,0.098,0.113
22,41936,0.034,0.004,0.185,0.329,0.312,0.126,0.2,0.32,0.288,0.112,0.106
23,41952,0.039,0.003,0.17,0.288,0.28,0.117,0.191,0.521,0.248,0.092,0.095
24,41968,0.039,0.003,0.206,0.338,0.32,0.122,0.197,0.397,0.266,0.117,0.14
25,41984,0.029,0.005,0.182,0.306,0.279,0.113,0.204,0.462,0.25,0.094,0.081
26,41600,0.036,0.005,0.168,0.482,0.229,0.088,0.179,0.493,0.21,0.102,0.067
27,41616,0.035,0.003,0.163,0.389,0.343,0.122,0.243,0.314,0.274,0.096,0.124
28,41632,0.035,0.003,0.196,0.319,0.294,0.101,0.248,0.507,0.235,0.11,0.093
29,41648,0.036,0.004,0.218,0.349,0.288,0.109,0.198,0.399,0.234,0.134,0.086
30,41664,0.036,0.003,0.198,0.336,0.282,0.113,0.217,0.309,0.25,0.101,0.126
31,41680,0.045,0.004,0.202,0.408,0.266,0.097,0.226,0.273,0.231,0.092,0.069
32,41696,0.038,0.003,0.185,0.36,0.269,0.094,0.18,0.446,0.229,0.115,0.114
33,41712,0.037,0.003,0.213,0.561,0.297,0.112,0.195,0.422,0.259,0.12,0.148
34,41728,0.039,0.003,0.169,0.487,0.213,0.095,0.226,0.439,0.227,0.118,0.075
35,41744,0.036,0.004,0.179,0.42,0.235,0.092,0.237,0.461,0.224,0.095,0.116
36,41760,0.038,0.004,0.242,0.366,0.27,0.093,0.231,0.413,0.21,0.11,0.114
37,41776,0.038,0.003,0.198,0.294,0.328,0.119,0.172,0.34,0.268,0.108,0.099
38,41792,0.036,0.005,0.267,0.287,0.329,0.111,0.212,0.268,0.27,0.11,0.093
39,41808,0.036,0.003,0.194,0.228,0.294,0.091,0.171,0.238,0.227,0.118,0.161
40,41824,0.041,0.003,0.15,0.317,0.289,0.125,0.195,0.325,0.28,0.106,0.083
41,41840,0.04,0.003,0.157,0.41,0.296,0.09,0.177,0.412,0.21,0.09,0.113
42,41856,0.042,0.004,0.225,0.43,0.265,0.089,0.227,0.443,0.199,0.117,0.133
43,41872,0.038,0.003,0.189,0.232,0.254,0.095,0.249,0.337,0.23,0.121,0.073
44,41888,0.038,0.003,0.136,0.321,0.299,0.102,0.146,0.425,0.226,0.119,0.118
45,41904,0.037,0.004,0.224,0.457,0.294,0.101,0.227,0.332,0.235,0.111,0.072
46,41920,0.042,0.003,0.179,0.503,0.235,0.086,0.198,0.374,0.226,0.092,0.064
47,41936,0.038,0.003,0.181,0.474,0.257,0.084,0.186,0.366,0.211,0.182,0.114
48,41952,0.037,0.004,0.18,0.296,0.315,0.125,0.212,0.299,0.277,0.102,0.088
49,41968,0.039,0.003,0.188,0.402,0.278,0.093,0.211,0.382,0.241,0.095,0.09
50,41984,0.03,0.004,0.176,0.353,0.301,0.125,0.206,0.399,0.285,0.107,0.109
51,41600,0.043,0.004,0.175,0.431,0.208,0.075,0.21,0.366,0.182,0.127,0.06
52,41616,0.042,0.003,0.196,0.293,0.281,0.16,0.194,0.344,0.291,0.103,0.15
53,41632,0.044,0.003,0.16,0.485,0.392,0.11,0.197,0.388,0.271,0.108,0.079
54,41648,0.04,0.004,0.176,0.451,0.217,0.078,0.204,0.378,0.211,0.117,0.07
55,41664,0.044,0.004,0.19,0.322,0.327,0.098,0.205,0.413,0.24,0.09,0.094
56,41680,0.039,0.003,0.181,0.388,0.301,0.1,0.224,0.28,0.238,0.094,0.105
57,41696,0.04,0.004,0.202,0.329,0.292,0.104,0.224,0.391,0.253,0.124,0.14
58,41712,0.048,0.004,0.158,0.431,0.25,0.091,0.189,0.323,0.216,0.113,0.114
59,41728,0.044,0.004,0.155,0.346,0.384,0.096,0.177,0.4,0.233,0.147,0.086
60,41744,0.044,0.004,0.226,0.395,0.249,0.075,0.248,0.389,0.188,0.099,0.093
61,41760,0.039,0.004,0.155,0.266,0.331,0.101,0.192,0.326,0.259,0.134,0.142
62,41776,0.039,0.004,0.208,0.315,0.333,0.117,0.238,0.265,0.292,0.095,0.091
63,41792,0.041,0.004,0.171,0.391,0.282,0.08,0.209,0.372,0.204,0.118,0.112
64,41808,0.044,0.003,0.139,0.576,0.266,0.083,0.147,0.522,0.21,0.142,0.09
65,41824,0.046,0.003,0.157,0.329,0.269,0.074,0.195,0.232,0.19,0.059,0.145
66,41840,0.044,0.003,0.197,0.301,0.278,0.097,0.222,0.268,0.252,0.094,0.086
67,41856,0.04,0.005,0.169,0.369,0.24,0.073,0.177,0.321,0.188,0.176,0.098
