epoch,iters,time,data_time,D_A,G_A,cycle_A,idt_A,D_B,G_B,cycle_B,idt_B,G_Lc
1,400,0.033,0.238,1.27,1.309,2.43,1.061,1.876,0.978,2.176,1.19,3.758
1,800,0.033,0.002,1.064,0.776,1.753,0.712,0.886,0.828,1.361,0.795,2.31
1,1200,0.033,0.002,0.751,0.613,1.374,0.682,0.8,0.568,1.384,0.533,1.883
1,1600,0.032,0.002,0.622,0.649,1.598,0.558,0.61,0.65,1.114,0.599,0.785
1,2000,0.036,0.002,0.591,0.481,1.12,0.462,0.544,0.376,0.941,0.351,0.598
1,2400,0.037,0.002,0.514,0.411,1.112,0.475,0.484,0.415,0.957,0.391,0.959
1,2800,0.033,0.003,0.489,0.384,1.1,0.464,0.455,0.346,0.937,0.365,0.617
1,3200,0.032,0.002,0.485,0.376,1.186,0.411,0.43,0.357,0.867,0.331,0.48
1,3600,0.034,0.002,0.434,0.347,0.968,0.325,0.408,0.305,0.661,0.258,0.494
1,4000,0.034,0.002,0.424,0.398,1.189,0.501,0.385,0.348,1.007,0.314,1.039
1,4400,0.038,0.003,0.389,0.374,1.173,0.443,0.367,0.33,0.891,0.275,0.815
1,4800,0.032,0.003,0.394,0.334,0.99,0.504,0.349,0.312,1.01,0.339,1.141
1,5200,0.037,0.002,0.368,0.373,1.184,0.443,0.337,0.316,0.918,0.329,0.6
1,5600,0.032,0.002,0.349,0.335,1.255,0.448,0.326,0.281,0.901,0.294,0.641
1,6000,0.033,0.002,0.354,0.323,1.046,0.37,0.317,0.296,0.756,0.328,0.586
1,6400,0.032,0.002,0.33,0.325,1.03,0.396,0.308,0.304,0.814,0.31,0.464
1,6800,0.032,0.002,0.333,0.332,1.118,0.41,0.314,0.304,0.82,0.269,0.741
1,7200,0.034,0.002,0.329,0.291,0.943,0.321,0.303,0.296,0.659,0.28,0.513
1,7600,0.034,0.002,0.317,0.31,0.865,0.325,0.292,0.281,0.661,0.238,0.397
